v8-version,8,4,371,22,0
code-creation,Builtin,3,178374,0x7ff61e2fa3a0,76,LoadIC_FunctionPrototype
code-creation,Builtin,3,178392,0x7ff61e2fa400,16,LoadIC_StringLength
code-creation,Builtin,3,178410,0x7ff61e2fa420,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,178428,0x7ff61e2fa440,3452,LoadIC_NoFeedback
code-creation,Builtin,3,178444,0x7ff61e2fb1c0,40,StoreGlobalIC_Slow
code-creation,Builtin,3,178462,0x7ff61e2fb200,7384,StoreIC_NoFeedback
code-creation,Builtin,3,178479,0x7ff61e2fcee0,212,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,178498,0x7ff61e2fcfc0,76,LoadIndexedInterceptorIC
code-creation,Builtin,3,178515,0x7ff61e2fd020,380,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,178534,0x7ff61e2fd1a0,380,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,178555,0x7ff61e2fd320,380,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,178575,0x7ff61e2fd4a0,380,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,178595,0x7ff61e2fd620,7206,StoreFastElementIC_Standard
code-creation,Builtin,3,178614,0x7ff61e2ff260,11220,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,178633,0x7ff61e301e40,7202,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,178652,0x7ff61e303a80,6232,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,178671,0x7ff61e3052e0,10052,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,178690,0x7ff61e307a40,22804,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,178711,0x7ff61e30d360,10052,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,178731,0x7ff61e30fac0,13212,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,178750,0x7ff61e312e60,836,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,178768,0x7ff61e3131c0,196,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,178786,0x7ff61e3132a0,76,HasIndexedInterceptorIC
code-creation,Builtin,3,178804,0x7ff61e313300,176,EnqueueMicrotask
code-creation,Builtin,3,178821,0x7ff61e3133c0,8,RunMicrotasksTrampoline
code-creation,Builtin,3,178839,0x7ff61e3133e0,2396,RunMicrotasks
code-creation,Builtin,3,178855,0x7ff61e313d40,2498,HasProperty
code-creation,Builtin,3,178872,0x7ff61e314720,1176,DeleteProperty
code-creation,Builtin,3,178888,0x7ff61e314bc0,2019,CopyDataProperties
code-creation,Builtin,3,178906,0x7ff61e3153c0,9320,SetDataProperties
code-creation,Builtin,3,178922,0x7ff61e317840,36,Abort
code-creation,Builtin,3,178938,0x7ff61e317880,36,AbortCSAAssert
code-creation,Builtin,3,178955,0x7ff61e3178c0,12,EmptyFunction
code-creation,Builtin,3,178971,0x7ff61e3178e0,12,Illegal
code-creation,Builtin,3,178987,0x7ff61e317900,12,StrictPoisonPillThrower
code-creation,Builtin,3,179005,0x7ff61e317920,12,UnsupportedThrower
code-creation,Builtin,3,179022,0x7ff61e317940,65,ReturnReceiver
code-creation,Builtin,3,179039,0x7ff61e3179a0,36,ArrayConstructor
code-creation,Builtin,3,179055,0x7ff61e3179e0,405,ArrayConstructorImpl
code-creation,Builtin,3,179073,0x7ff61e317b80,209,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,179093,0x7ff61e317c60,209,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,179113,0x7ff61e317d40,173,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,179135,0x7ff61e317e00,173,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,179156,0x7ff61e317ec0,173,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,179179,0x7ff61e317f80,173,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,179200,0x7ff61e318040,185,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,179221,0x7ff61e318100,185,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,179247,0x7ff61e3181c0,553,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,179270,0x7ff61e318400,513,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,179290,0x7ff61e318620,477,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,179323,0x7ff61e318800,441,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,179344,0x7ff61e3189c0,477,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,179365,0x7ff61e318ba0,441,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,179386,0x7ff61e318d60,485,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,179408,0x7ff61e318f60,445,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,179430,0x7ff61e319120,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,179448,0x7ff61e319180,12,ArrayConcat
code-creation,Builtin,3,179464,0x7ff61e3191a0,12,ArrayPrototypeFill
code-creation,Builtin,3,179482,0x7ff61e3191c0,1002,ArrayIncludesSmiOrObject
code-creation,Builtin,3,179499,0x7ff61e3195c0,160,ArrayIncludesPackedDoubles
code-creation,Builtin,3,179517,0x7ff61e319680,236,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,179535,0x7ff61e319780,589,ArrayIncludes
code-creation,Builtin,3,179552,0x7ff61e3199e0,902,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,179570,0x7ff61e319d80,116,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,179587,0x7ff61e319e00,116,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,179605,0x7ff61e319e80,589,ArrayIndexOf
code-creation,Builtin,3,179621,0x7ff61e31a0e0,12,ArrayPop
code-creation,Builtin,3,179638,0x7ff61e31a100,718,ArrayPrototypePop
code-creation,Builtin,3,179654,0x7ff61e31a3e0,12,ArrayPush
code-creation,Builtin,3,179671,0x7ff61e31a400,2882,ArrayPrototypePush
code-creation,Builtin,3,179688,0x7ff61e31af60,12,ArrayShift
code-creation,Builtin,3,179705,0x7ff61e31af80,12,ArrayUnshift
code-creation,Builtin,3,179721,0x7ff61e31afa0,1098,CloneFastJSArray
code-creation,Builtin,3,179739,0x7ff61e31b400,2604,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,179757,0x7ff61e31be40,1098,ExtractFastJSArray
code-creation,Builtin,3,179774,0x7ff61e31c2a0,279,ArrayPrototypeEntries
code-creation,Builtin,3,179791,0x7ff61e31c3c0,267,ArrayPrototypeKeys
code-creation,Builtin,3,179809,0x7ff61e31c4e0,279,ArrayPrototypeValues
code-creation,Builtin,3,179826,0x7ff61e31c600,4602,ArrayIteratorPrototypeNext
code-creation,Builtin,3,179844,0x7ff61e31d800,4206,FlattenIntoArray
code-creation,Builtin,3,179861,0x7ff61e31e880,4142,FlatMapIntoArray
code-creation,Builtin,3,179878,0x7ff61e31f8c0,524,ArrayPrototypeFlat
code-creation,Builtin,3,179895,0x7ff61e31fae0,560,ArrayPrototypeFlatMap
code-creation,Builtin,3,179912,0x7ff61e31fd20,12,ArrayBufferConstructor
code-creation,Builtin,3,179929,0x7ff61e31fd40,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,179949,0x7ff61e31fd60,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,179967,0x7ff61e31fd80,12,ArrayBufferIsView
code-creation,Builtin,3,179984,0x7ff61e31fda0,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,180002,0x7ff61e31fdc0,608,AsyncFunctionEnter
code-creation,Builtin,3,180019,0x7ff61e320040,165,AsyncFunctionReject
code-creation,Builtin,3,180037,0x7ff61e320100,157,AsyncFunctionResolve
code-creation,Builtin,3,180054,0x7ff61e3201a0,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,180073,0x7ff61e3201c0,1306,AsyncFunctionAwaitCaught
code-creation,Builtin,3,180091,0x7ff61e3206e0,1306,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,180108,0x7ff61e320c00,187,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,180126,0x7ff61e320cc0,183,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,180144,0x7ff61e320d80,12,BigIntConstructor
code-creation,Builtin,3,180161,0x7ff61e320da0,12,BigIntAsUintN
code-creation,Builtin,3,180181,0x7ff61e320dc0,12,BigIntAsIntN
code-creation,Builtin,3,180264,0x7ff61e320de0,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,180285,0x7ff61e320e00,12,BigIntPrototypeToString
code-creation,Builtin,3,180302,0x7ff61e320e20,12,BigIntPrototypeValueOf
code-creation,Builtin,3,180320,0x7ff61e320e40,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,180338,0x7ff61e320e60,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,180357,0x7ff61e320e80,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,180375,0x7ff61e320ea0,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,180393,0x7ff61e320ec0,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,180412,0x7ff61e320ee0,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,180430,0x7ff61e320f00,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,180449,0x7ff61e320f20,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,180466,0x7ff61e320f40,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,180485,0x7ff61e320f60,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,180504,0x7ff61e320f80,12,CallSitePrototypeGetThis
code-creation,Builtin,3,180522,0x7ff61e320fa0,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,180540,0x7ff61e320fc0,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,180558,0x7ff61e320fe0,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,180576,0x7ff61e321000,12,CallSitePrototypeIsEval
code-creation,Builtin,3,180594,0x7ff61e321020,12,CallSitePrototypeIsNative
code-creation,Builtin,3,180612,0x7ff61e321040,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,180630,0x7ff61e321060,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,180648,0x7ff61e321080,12,CallSitePrototypeToString
code-creation,Builtin,3,180666,0x7ff61e3210a0,12,ConsoleDebug
code-creation,Builtin,3,180683,0x7ff61e3210c0,12,ConsoleError
code-creation,Builtin,3,180699,0x7ff61e3210e0,12,ConsoleInfo
code-creation,Builtin,3,180716,0x7ff61e321100,12,ConsoleLog
code-creation,Builtin,3,180732,0x7ff61e321120,12,ConsoleWarn
code-creation,Builtin,3,180748,0x7ff61e321140,12,ConsoleDir
code-creation,Builtin,3,180765,0x7ff61e321160,12,ConsoleDirXml
code-creation,Builtin,3,180782,0x7ff61e321180,12,ConsoleTable
code-creation,Builtin,3,180798,0x7ff61e3211a0,12,ConsoleTrace
code-creation,Builtin,3,180814,0x7ff61e3211c0,12,ConsoleGroup
code-creation,Builtin,3,180831,0x7ff61e3211e0,12,ConsoleGroupCollapsed
code-creation,Builtin,3,180848,0x7ff61e321200,12,ConsoleGroupEnd
code-creation,Builtin,3,180865,0x7ff61e321220,12,ConsoleClear
code-creation,Builtin,3,180881,0x7ff61e321240,12,ConsoleCount
code-creation,Builtin,3,180898,0x7ff61e321260,12,ConsoleCountReset
code-creation,Builtin,3,180915,0x7ff61e321280,12,ConsoleAssert
code-creation,Builtin,3,180932,0x7ff61e3212a0,12,ConsoleProfile
code-creation,Builtin,3,180948,0x7ff61e3212c0,12,ConsoleProfileEnd
code-creation,Builtin,3,180965,0x7ff61e3212e0,12,ConsoleTime
code-creation,Builtin,3,180982,0x7ff61e321300,12,ConsoleTimeLog
code-creation,Builtin,3,180999,0x7ff61e321320,12,ConsoleTimeEnd
code-creation,Builtin,3,181015,0x7ff61e321340,12,ConsoleTimeStamp
code-creation,Builtin,3,181032,0x7ff61e321360,12,ConsoleContext
code-creation,Builtin,3,181049,0x7ff61e321380,12,DataViewConstructor
